[2023-07-03 10:26:05,012] Register - Step 01: Navigate to 'Register' page
[2023-07-03 10:39:47,191] Register - Step 09: Click to 'Register' buttom
[2023-07-03 10:39:47,970] Register - Step 10: Verify Register success message.
[2023-07-03 10:39:48,054] Login - Step 01: Navigate to Login page
[2023-07-03 10:39:48,482] Login - Step 02: Enter to Email address textbox with value is Automation222
[2023-07-03 10:39:48,636] Login - Step 03: Enter to Password textbox with value is 123456
[2023-07-03 10:39:48,797] Login - Step 04: Click to Login button
[2023-07-03 10:39:49,457] Login - Step 05: Verify Login page link
[2023-07-03 10:39:49,922] Login - Step 01: Verify MyAccount page link
[2023-07-03 10:39:49,982] Login - Step 02: Verify Firstname value is correct.
[2023-07-03 10:39:50,041] Login - Step 03: Verify Lastname value is correct.
[2023-07-03 10:39:50,101] Login - Step 04: Verify Email value is correct.
[2023-07-03 10:39:50,167] OS name = Windows 10
[2023-07-03 10:39:50,167] Driver instance name = chromedriver: chrome on windows (47f53eabb8f900d5b193b7528bdff607)
[2023-07-04 22:42:59,223] Register - Step 01: Navigate to 'Register' page
[2023-07-04 22:42:59,926] Register - Step 02: Choose 'Gender' - Radio button
[2023-07-04 22:43:00,052] Register - Step 03: Enter to First name textbox with value is AutomationHaha
[2023-07-04 22:43:00,188] Register - Step 04: Enter to Last name textbox with value is Testing
[2023-07-04 22:43:00,301] Register - Step 05: Select date of Birth with value is 11/May/1999
[2023-07-04 22:43:00,603] Register - Step 06: Enter to Email address textbox with value is autotesthuhu839@gmail.com
[2023-07-04 22:43:00,723] Register - Step 07: Click to checkbox 'Newsletter'
[2023-07-04 22:43:00,772] Register - Step 08: Enter to Password textbox with value is 1234567
[2023-07-04 22:43:00,998] Register - Step 09: Click to 'Register' buttom
[2023-07-04 22:43:02,169] Register - Step 10: Verify Register success message.
[2023-07-04 22:43:02,225] Login - Step 01: Navigate to Login page
[2023-07-04 22:43:02,701] Login - Step 02: Enter to Email address textbox with value is Automation222
[2023-07-04 22:43:02,817] Login - Step 03: Enter to Password textbox with value is 123456
[2023-07-04 22:43:02,932] Login - Step 04: Click to Login button
[2023-07-04 22:43:03,604] Login - Step 05: Verify Login page link
[2023-07-04 22:43:03,997] Login - Step 01: Verify MyAccount page link
[2023-07-04 22:43:04,047] Login - Step 02: Verify Firstname value is correct.
[2023-07-04 22:43:04,088] Login - Step 03: Verify Lastname value is correct.
[2023-07-04 22:43:04,128] Login - Step 04: Verify Email value is correct.
[2023-07-04 22:43:04,170] OS name = Windows 10
[2023-07-04 22:43:04,170] Driver instance name = chromedriver: chrome on windows (a114da52caeb17941905447932fa13dd)
[2023-07-10 22:23:55,071] Pre-Condition - Step 01: Open browser and Admin site
[2023-07-10 22:23:58,633] OS name = Windows 10
[2023-07-10 22:23:58,633] Driver instance name = firefoxdriver: firefox on windows (3746d9be-41c2-4ffd-968c-66ba66b0cff9)
[2023-07-10 22:27:46,927] Pre-Condition - Step 01: Open browser and Admin site
[2023-07-10 22:27:49,934] OS name = Windows 10
[2023-07-10 22:27:49,935] Driver instance name = chromedriver: chrome on windows (4f5e64cd908f7dc17093760931753f5d)
[2023-07-10 22:39:09,042] Pre-Condition - Step 01: Open browser and Admin site
[2023-07-10 22:39:14,501] Pre-Condition - Step 02: Enter to Username textbox with value: automationfc
[2023-07-10 22:39:14,744] Pre-Condition - Step 03: Enter to Password textbox with value: automationfc
[2023-07-10 22:39:14,830] Pre-Condition - Step 04: Click to Login button
[2023-07-10 22:39:18,118] Create_Post - Step 01: Click to 'Posts' menu link
[2023-07-10 22:39:19,952] Create_Post - Step 02: Get 'Search Posts' page url
[2023-07-10 22:39:19,955] Create_Post - Step 03: Click to 'Add New' button
[2023-07-10 22:39:22,792] Create_Post - Step 04: Enter to post title
[2023-07-10 22:39:23,675] Create_Post - Step 05: Enter to body
[2023-07-10 22:39:24,168] Search_Post - Step 01: Open 'Search Post' page
[2023-07-10 22:39:27,329] Search_Post - Step 02: Enter to Search textbox
[2023-07-10 22:39:27,469] Search_Post - Step 03: Click to 'Search Post' button
[2023-07-10 22:39:29,407] Search_Post - Step 04: Verify Search table contains: Live Coding Title 4797
[2023-07-10 22:39:59,538] Edit_Post - Step 01: Open admin site
[2023-07-10 22:39:59,614] Delete_Post - Step 01: Open admin site
[2023-07-10 22:39:59,673] OS name = Windows 10
[2023-07-10 22:39:59,674] Driver instance name = firefoxdriver: firefox on windows (c141800a-3405-4fd1-a7c2-397cd0125a24)
[2023-07-12 17:43:23,237] Pre-Condition - Step 01: Open browser and Admin site
[2023-07-12 17:43:31,006] Pre-Condition - Step 02: Enter to Username textbox with value: automationfc
[2023-07-12 17:43:31,213] Pre-Condition - Step 03: Enter to Password textbox with value: automationfc
[2023-07-12 17:43:31,289] Pre-Condition - Step 04: Click to Login button
[2023-07-12 17:43:33,315] View_User - Step 01: Click to 'User' menu link
[2023-07-12 17:43:34,417] View_User - Step 02: Get all users from UI
[2023-07-12 17:43:34,501] View_User - Step 03: Get all users from DB
[2023-07-12 17:43:34,938] View_User - Step 04: Verify the User are matching
[2023-07-12 17:43:34,940]  -------------------------- PASSED -------------------------- 
[2023-07-12 17:43:34,944] OS name = Windows 10
[2023-07-12 17:43:34,944] Driver instance name = firefoxdriver: firefox on windows (2e065acb-6769-463e-880c-4eb12aba346b)
